ecoid	ecoregion	country1	country2	regionid	region	pixels	hits
60140	"Mato Grosso seasonal forests"	"Brazil"	"Brazil"	20	"Mato Grosso seasonal forests"	1342698	157155
60141	"Monte Alegre varzeﬂ"	"Brazil"	"Brazil"	9	"Brazil Western Amazon"	254198	974
60142	"Napo moist forests"	"Peru"	"Ecuador"	26	"Other Andean South America"	1079276	2935
60143	"Negro-Branco moist forests"	"Venezuela"	"Brazil"	9	"Brazil Western Amazon"	895721	1504
60144	"Northeastern Brazil restingas"	"Brazil"	"Brazil"	7	"Brazil Atlantic and Interior"	7501	297
60145	"Northwestern Andean montane forests"	"Colombia"	"Ecuador"	14	"Colombia"	188956	419
60146	"Oaxacan montane forests"	"Mexico"	"Mexico"	11	"Central America and Caribbean"	25720	0
60147	"Orinoco Delta swamp forests"	"Venezuela"	"Guyana"	25	"Northern South America"	106907	488
60148	"Pantanos de Centla"	"Mexico"	"Mexico"	11	"Central America and Caribbean"	35298	148
60149	"Guianan freshwater swamp forests"	"Suriname"	"Suriname"	25	"Northern South America"	23886	71
60150	"Alto Paranﬂ Atlantic forests"	"Brazil"	"Brazil"	1	"Alto Paranﬂ Atlantic forests"	659960	27700
60151	"Pernambuco coastal forests"	"Brazil"	"Brazil"	7	"Brazil Atlantic and Interior"	10384	505
60152	"Pernambuco interior forests"	"Brazil"	"Brazil"	7	"Brazil Atlantic and Interior"	10168	864
60153	"Peruvian Yungas"	"Peru"	"Peru"	26	"Other Andean South America"	404097	29
60154	"Pet?n-Veracruz moist forests"	"Guatemala"	"Mexico"	29	"Pet?n-Veracruz moist forests"	408862	6183
60155	"Puerto Rican moist forests"	"Puerto Rico"	"Puerto Rico"	11	"Central America and Caribbean"	18780	20
60156	"Purus varzeﬂ"	"Brazil"	"Brazil"	26	"Other Andean South America"	773113	1327
60157	"Purus-Madeira moist forests"	"Brazil"	"Brazil"	30	"Purus-Madeira moist forests"	784982	9443
60158	"Rio Negro campinarana"	"Brazil"	"Brazil"	25	"Northern South America"	414127	717
60159	"Santa Marta montane forests"	"Colombia"	"Colombia"	14	"Colombia"	14581	4
60160	"Serra do Mar coastal forests"	"Brazil"	"Brazil"	7	"Brazil Atlantic and Interior"	295704	1305
60161	"Sierra de los Tuxtlas"	"Mexico"	""	11	"Central America and Caribbean"	5791	7
60162	"Sierra Madre de Chiapas moist forests"	"Mexico"	"Guatemala"	11	"Central America and Caribbean"	27393	82
60163	"Solim?es-Japurﬂ moist forests"	"Colombia"	"Peru"	26	"Other Andean South America"	758943	826
60164	"South Florida rocklands"	"United States"	"United States"	22	"North America"	2189	0
60165	"Southern Andean Yungas"	"Argentina"	"Bolivia"	26	"Other Andean South America"	231316	901
60166	"Southwest Amazon moist forests"	"Brazil"	"Brazil"	33	"Southwest Amazon moist forests"	3293809	12714
60167	"Talamancan montane forests"	"Panama"	"Panama"	11	"Central America and Caribbean"	58361	20
60168	"Tapaj?s-Xingu moist forests"	"Brazil"	"Brazil"	38	"Tapaj?s-Xingu moist forests"	1472888	29820
